In what position should the crankshaft be when a magneto is being timed to the engine?,The piston in cylinder number 1 should be in the correct position for ignition to occur. This is normally about 30° before top center on the compression stroke.
What is checked on engine runup to determine the operational condition of the engine?,"Idling RPM and manifold pressure, engine acceleration, maximum static RPM and manifold pressure, magneto drop, ignition switch safety check, propeller pitch change, propeller feathering, oil pressure, fuel pressure, and fuel flow."
What is meant by trimming a turbine engine?,Adjusting the fuel control so the engine develops the correct idle and trim speed RPM.
What type of equipment should be used to determine that a turbine engine is performing up to the standards specified by the engine manufacturer?,"A JetCal analyzer/trimmer has all of the instrumentation and cables to determine the EGT, EPR, and other parameters specified by the engine manufacturer."
What is meant by a hot-section inspection?,"An inspection of the hot section of a turbine engine. The hot section includes the combustors, the turbine, and the exhaust system."
What is meant by on-condition maintenance of a turbine engine?,The monitoring of the engine performance at regular intervals and determining when maintenance is required based on certain operating parameters specified by the engine manufacturer.
What checks of a turbine engine are necessary to verify preflight condition? ,a. Inspect the cowling and all air inlet areas and attachment of the engine to the airframe. b. Inspect the inlet guide vanes and the first stage of the compressor or fan blades. c. Check for unusual noise when the compressor is rotated. d. Inspect the rear turbine and exhaust system. e. Check the quantity of the lubricating oil for the engine and the constant-speed drive unit. f. Check the ignition system for operation by listening for the sparks.
"What kind of indicating system is used to measure oil temperature in a small, single-engine, general aviation airplane?","A sealed system in which a bulb, partially filled with a highly volatile liquid, is installed inside the oil strainer. The bulb is connected to a pressure gauge by a copper tube. The pressure of the gas above the liquid is proportional to the temperature of the oil that surrounds the bulb, and the pressure gauge is calibrated in terms of temperature."
What type of instrument system is used for measuring cylinder-head temperature and exhaust gas temperature?,A thermocouple system.
What kind of electrical instrument system is used for measuring oil temperature?,A ratiometer-type system.
What should a thermocouple cylinder-head temperature indicator read when the engine is cold?,The same as the outside air temperature gauge.
"What is critical in the installation of the thermocouple leads for a cylinder-head temperature indicator, the length of the leads or their resistance?","The resistance is critical, it must have the resistance specified on the indicator. This is usually 2 or 8 ohms."
What should a ratiometer temperature indicator read when the electrical power is off?,The pointer should be off scale on the low side.
How does a ratiometer-type oil temperature gauge measure the temperature of the oil?,A ratiometer measures the resistance of the temperature bulb. The indicator is calibrated in degrees Fahrenheit or Celsius rather than in ohms.
"What do the colors red, green, and yellow indicate on an aircraft instrument or gauge?","Red indicates a maximum range or limit, green indicates a normal operating range, and yellow indicates a caution range."
What is used as the rectifier to produce direct current in a DC alternator?,Six solid-state diodes.
Why is it not necessary to flash the field of a DC alternator after it has been overhauled?,An alternator field is excited by battery current and residual voltage is not used to start the alternator producing current.
"If the installed ammeter gauge is redlined at 100 percent of generator or alternator rating, and the regulator does not control current, how is maximum current controlled?","Current is controlled by the pilot or operator of the aircraft by not applying loads greater than redline, except for short, intermittent loads."
"If placards or monitoring devices are not practical or desired, what practice protects the battery and electrical system?",The generator is sized so that total continuous load of the electrical system does not exceed 80 percent of the rated capacity of the generator or alternator.
"When determining maximum continuous electrical load of an aircraft, what defines if the load is intermittent or continuous?","The length of time the system is used. If the component or system is used for less than two minutes, it is considered an intermittent load. If it is used for more than two minutes, it is considered a continuous load."
How is generator output voltage controlled?,By controlling the field current strength through the use of a voltage regulator.
What is straight mineral oil?,It is the lubricating oil as obtained by fractional distillation of crude oil. It does not have any additives.
What is ashless dispersant (AD) oil?,A mineral lubricating oil containing additives that disperse the contaminants throughout the oil so they will not clump and clog oil passages. There are no ash-forming additives in AD oil.
What is synthetic oil?,A lubricating oil that is made by chemically changing the nature of an oil base to give it the needed characteristics. Synthetic oil is the primary oil for turbine engines.
Is automotive oil suitable for use in aircraft engines?,"No, automotive and aviation oils are formulated for entirely different operating conditions."
What is meant by a multiviscosity oil?,It is a lubricating oil with a viscosity index improver that increases the viscosity of the oil when it is hot and decreases the viscosity when it is cold.
Where can you find the grade of engine oil specified for a particular aircraft?,In the airplane flight manual or the pilot’s operating handbook for the aircraft.
What are six functions of the oil in an aircraft engine?,"a. Reduces friction, b. Seals and cushions, c. Removes heat, d. Cleans inside the engine, e. Protects against corrosion, and f. Performs hydraulic action."
"What is the purpose of an air-oil separator, or deaerator, in a turbine engine oil tank?","In normal operation, the oil picks up a quantity of air and it is swirled as it enters the deaerator. The swirling action releases the air from the oil, and the air is used to pressurize the oil tank."
How is oil pressure regulated in an aircraft engine?,A pressure-relief valve senses the desired pressure and sends excess oil back into the engine sump.
What is the purpose of the restricted orifice in the line between the oil pressure gauge and the engine?,The restricted fitting helps dampen any pulsations in the oil pressure caused by the pump.
What is a hot-tank lubrication system for a turbojet engine?,A lubrication system in which the oil cooler is in the pressure subsystem and the scavenged oil is not cooled before it is returned to the tank.
What is a cold-tank lubrication system for a turbojet engine?,"A lubrication system in which the oil cooler is in the scavenge subsystem, and the scavenged oil is cooled before it is returned to the tank."
Where does a dry sump oil system store oil?,In a reservoir outside the engine through the use of a scavenge pump and external tubing.
What is the function of a float carburetor?,The float carburetor’s function is to measure airflow through the engine induction system and dispense the appropriate amount of gasoline into the airflow for all engine operating perimeters and conditions. It must also provide the fuel in a state that is as vaporized as possible by the time ignition occurs in the engine cylinders.
What two things are adjusted when setting the idling conditions on a float carburetor?,a. Idling RPM by adjusting the throttle stop. b. Idling mixture by adjusting idle needle valve.
What would likely cause a reciprocating engine equipped with a float carburetor to hesitate momentarily when the throttle is rapidly advanced from idle to full power?,A malfunctioning accelerator pump.
What are the two types of fuel injection systems used on modern reciprocating aircraft engines?,Teledyne Continental (TCM) system and Precision Airmotive (Bendix) system.
What is used in the TCM fuel injection system to control the amount of fuel sent to the nozzles?,"The engine speed determines the injector pump output pressure. The relief valve determines the fuel for low-speed operation, and the adjustable orifice determines the fuel for high-speed operation."
What is used in the Precision Airmotive system to control the amount of fuel sent to the nozzles?,The mass of the air entering the engine acts on an air diaphragm that controls a servo ball valve in the line between the regulator and the flow divider.
